graph_id,vertices,edges,algorithm,total_cost,operations_count,execution_time_ms
1,5,4,Prim,145,4,1.24
1,5,4,Kruskal,145,4,0.12
2,7,14,Prim,66,14,0.03
2,7,14,Kruskal,66,14,0.02
3,9,10,Prim,262,10,0.02
3,9,10,Kruskal,262,10,0.01
4,11,22,Prim,141,22,0.04
4,11,22,Kruskal,141,22,0.02
5,13,14,Prim,243,14,0.03
5,13,14,Kruskal,243,14,0.01
6,15,16,Prim,324,16,0.02
6,15,16,Kruskal,324,16,0.01
7,17,34,Prim,152,34,0.02
7,17,34,Kruskal,152,34,0.04
8,19,51,Prim,204,51,0.05
8,19,51,Kruskal,204,51,0.03
9,21,42,Prim,385,42,0.04
9,21,42,Kruskal,385,42,0.02
10,23,26,Prim,556,26,0.03
10,23,26,Kruskal,556,26,0.02
11,25,28,Prim,579,28,0.03
11,25,28,Kruskal,579,28,0.02
12,27,54,Prim,378,54,0.04
12,27,54,Kruskal,378,54,0.03
13,29,121,Prim,226,121,0.07
13,29,121,Kruskal,226,121,0.06
14,31,62,Prim,557,62,0.03
14,31,62,Kruskal,557,62,0.03
15,33,38,Prim,765,38,0.02
15,33,38,Kruskal,765,38,0.02
16,36,42,Prim,833,42,0.04
16,36,42,Kruskal,833,42,0.04
17,39,78,Prim,534,78,0.03
17,39,78,Kruskal,534,78,0.03
18,42,258,Prim,292,258,0.10
18,42,258,Kruskal,292,258,0.09
19,45,90,Prim,688,90,0.05
19,45,90,Kruskal,688,90,0.04
20,48,56,Prim,1255,56,0.04
20,48,56,Kruskal,1255,56,0.04
21,51,60,Prim,1071,60,0.03
21,51,60,Kruskal,1071,60,0.05
22,54,108,Prim,720,108,0.05
22,54,108,Kruskal,720,108,0.06
23,57,478,Prim,246,478,0.13
23,57,478,Kruskal,246,478,0.17
24,60,120,Prim,906,120,0.05
24,60,120,Kruskal,906,120,0.05
25,63,74,Prim,1584,74,0.02
25,63,74,Kruskal,1584,74,0.03
26,70,82,Prim,1513,82,0.03
26,70,82,Kruskal,1513,82,0.03
27,75,150,Prim,1051,150,0.05
27,75,150,Kruskal,1051,150,0.06
28,80,948,Prim,229,948,0.29
28,80,948,Kruskal,229,948,0.38
